Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2016-10-07,0,12.398151397705078,12.48542022705078,12.097225189208984,12.48542022705078,11.043206214904783,2470042,0.0118804094648397,0.0443531812329316,-0.0385344640551775,0.0211064724954115,0.0467243239339529,0.0861607349345805,1,1,-1
2016-10-10,0,12.548613548278809,12.58773422241211,12.253706932067873,12.37407684326172,10.94472885131836,1857267,-0.0089578745717874,0.0361515052065169,-0.0523505603906446,0.0211014304349875,0.0467175098264197,0.0861481792270481,-1,1,-1
2016-10-11,0,12.398151397705078,12.458335876464844,12.277780532836914,12.36805820465088,10.939400672912598,2652479,-0.0004865092456974,0.0041447968428514,0.0029239591604586,0.0210951473661785,0.046703542237372,0.0861223068457628,0,0,0
2016-10-13,0,12.304863929748535,12.662965774536133,12.217595100402832,12.518521308898926,11.072484016418455,5638263,0.0120920544767321,0.016970131971467,0.0096618717117708,0.0210907640743004,0.0466908775419852,0.0860962998091494,1,1,1
2016-10-14,0,12.653938293457031,12.723151206970217,12.148382186889648,12.277780532836914,10.85954761505127,2468048,-0.0194180843633551,-0.0109689777043375,0.0145663741389384,0.0210900704007209,0.046678118019555,0.0860704014458272,-1,-1,1
2016-10-17,0,12.277780532836914,12.31088161468506,12.142363548278809,12.15740966796875,10.75308322906494,3342017,-0.0098523348958904,-0.0147423391351586,0.0192433220246789,0.0210852925766142,0.046666119710112,0.0860447644561779,-1,-1,1
2016-10-18,0,12.163429260253906,12.337965965270996,12.073150634765623,12.337965965270996,10.9127836227417,5554853,0.0147423391351587,-0.0118804094648397,0.0355007627650661,0.0210818934011602,0.0466535447120632,0.0860211685198474,1,-1,1
2016-10-19,0,12.337965965270996,12.690049171447754,12.22060489654541,12.554633140563965,11.104426383972168,5480749,0.0174085997417783,0.014486064848726,0.0446044093850806,0.0210796677698256,0.046640515580377,0.0859995286005119,1,1,1
2016-10-20,1,12.566670417785645,12.819446563720703,12.383105278015137,12.819446563720703,11.33864688873291,1833341,0.0208735088075414,0.0358460829019649,0.0559991450149811,0.0210792622959155,0.046633633815711,0.085981143148402,1,1,1
2016-10-21,0,12.759262084960938,12.819446563720703,12.190511703491213,12.277780532836914,10.85954761505127,6489635,-0.043172112788588,-0.0194180843633551,-0.013632109426805,0.0210998462340464,0.0466228628369513,0.0859571783755596,-1,-1,-1
2016-10-24,0,12.37407684326172,12.467364311218262,11.742132186889648,11.742132186889648,10.38577651977539,4559260,-0.0446077528240791,-0.0446077528240791,-0.0678646890919016,0.0211221432374962,0.0466232612044902,0.0859523634212036,-1,-1,-1
2016-10-25,0,11.766205787658691,12.238659858703612,11.766205787658691,12.22060489654541,10.808977127075195,6186570,0.0399400378625285,0.0051846199343398,-0.0029505602082697,0.021137775385765,0.0466094236764707,0.0859270873805819,1,1,0
2016-10-26,0,12.22060489654541,12.337965965270996,11.95578956604004,12.037039756774902,10.646617889404297,3849451,-0.0151349107811327,-0.0246926299819515,-0.0067273349739279,0.0211349184033084,0.0466003331641991,0.0859022157732427,-1,-1,0
2016-10-27,0,12.037039756774902,12.17546558380127,11.76319694519043,11.766205787658691,10.407072067260742,3341352,-0.022757035956435,-0.0648582656801649,-0.0250045132597036,0.0211362055129911,0.0466155326968873,0.0858806210668189,-1,-1,-1
2016-10-28,0,11.835418701171877,12.103243827819824,11.78125286102295,12.067131996154783,10.673236846923828,3815223,0.0252538863209198,-0.0604778881667866,0.0067559517028497,0.0211385678084135,0.0466270332271578,0.0858548866408553,1,-1,0
2016-10-31,0,12.006946563720703,12.064123153686523,11.820372581481934,11.925697326660156,10.548138618469238,3543063,-0.0117898815423708,-0.0290956569205694,-0.0090430346135414,0.0211344084757772,0.0466195709394248,0.0858303613319313,-1,-1,-1
2016-11-01,0,12.021992683410645,12.021992683410645,11.314817428588867,11.359955787658691,10.04774570465088,4996244,-0.0486009897409717,-0.033088893837462,-0.0501138791327176,0.0211617972590218,0.0466138183618286,0.0858170850354605,-1,-1,-1
2016-11-03,0,11.359955787658691,11.444215774536133,11.2155122756958,11.320836067199709,10.013142585754396,5738952,-0.0034495937797983,-0.076478525479789,-0.0528072743671432,0.021155748252337,0.0466396809450092,0.0858049540414514,-1,-1,-1
2016-11-04,0,11.320836067199709,11.585651397705078,11.263660430908203,11.480326652526855,10.154213905334473,2857845,0.0139899169652933,-0.0473536977333628,-0.0703375565198178,0.0211520679192669,0.0466416335281888,0.0858015079912253,1,-1,-1
2016-11-07,0,11.600696563720703,12.00092887878418,11.489354133605955,12.00092887878418,10.614679336547852,1773193,0.0443492088181416,0.0197525470412137,-0.0252550670497929,0.0211727329021035,0.0466297150670042,0.0857800490293864,1,1,-1
2016-11-08,0,12.049077033996582,12.067131996154783,11.55555820465088,11.660881996154783,10.313909530639648,2181931,-0.0287442324011268,-0.0342455716808329,-0.0625203247633691,0.0211783583201732,0.0466244623758944,0.0857724514680743,-1,-1,-1
2016-11-09,0,11.423151016235352,11.58866024017334,11.013891220092772,11.37500286102295,10.061054229736328,2585020,-0.0248216046010046,-0.0472772947394668,-0.0812629558993043,0.0211809898705739,0.046626347020836,0.0857754479888897,-1,-1,-1
2016-11-10,0,11.39004898071289,11.519447326660156,10.4030122756958,10.866437911987305,9.611234664916992,5877524,-0.0457392679166206,-0.0444155729151156,-0.1388826332807648,0.0212043700728633,0.0466264602179397,0.0858262610432841,-1,-1,-1
