Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2015-02-10,0,5.803332805633545,5.840000152587891,5.38666582107544,5.493332862854004,4.517411231994629,2102700,5.060220192192292,-0.0566188039384728,-0.2168127342106858,-0.4404447537751284,0.0269737000834498,0.0790030345739031,0.1625363035473236,-1,-1,-1
2015-02-11,0,5.50666618347168,5.706665992736816,5.260000228881836,5.706665992736816,4.692843914031982,2640300,5.559897398139171,0.0380996834599085,-0.0962655262005996,-0.2799126327099249,0.0270178324917234,0.0790600616320684,0.163091028412848,1,-1,-1
2015-02-12,0,5.816666126251221,6.416666030883789,5.816666126251221,6.283332824707031,5.167062282562256,3492900,5.843364703798602,0.0962655262005997,-0.0364624482999171,-0.2251575396108811,0.0275123387236988,0.0789586529521883,0.1633482952836767,1,-1,-1
2015-02-13,0,6.456665992736816,6.570000171661377,6.133333206176758,6.380000114440918,5.246556758880615,1438200,5.574455798140377,0.0152677028407534,-0.0637544266127351,-0.2258564970458151,0.0274825174421333,0.0789111246326489,0.1636031427661411,1,-1,-1
2015-02-18,0,6.289999961853027,6.563333034515381,6.289999961853027,6.559999942779541,5.394578456878662,912600,5.352650647000443,0.0278224537833462,0.0892311985486876,-0.143642521710113,0.0274834419709255,0.0789512024199526,0.1635418789904865,1,1,-1
2015-02-19,0,6.466666221618652,7.0,6.276666164398193,6.949999809265137,5.715291976928711,1296600,4.734606979730077,0.0577509257497769,0.1785874880959117,-0.1572291946542888,0.0276281067788028,0.079470967124035,0.1635211935089276,1,1,-1
2015-02-20,0,7.010000228881836,7.179999828338623,6.516665935516357,6.993332862854004,5.750926971435547,1647000,4.351304838371336,0.0062156687214328,0.2414219607558174,-0.1181007885155719,0.02758715765265,0.0804990270117398,0.1633900704043209,1,1,-1
2015-02-23,0,8.0,8.316665649414062,7.44666576385498,7.866665840148926,6.469107151031494,6147900,5.674634078814725,0.1176770464556845,0.3209993237515934,-0.0288181350988649,0.0283059647945095,0.0823568235241129,0.1631273498596566,1,1,-1
2015-02-24,0,7.800000190734863,7.869999885559082,7.666666030883789,7.800000190734863,6.414285182952881,1660800,5.534343595337728,-0.0085105378381525,0.2162232597128413,-0.0540671938819004,0.0282668153450867,0.0831028001476451,0.1628866369492259,-1,1,-1
2015-02-25,0,7.776666164398193,8.109999656677246,7.716666221618652,8.0600004196167,6.628094673156738,2320800,5.968614328342439,0.0327898204249303,0.2337453772970182,0.0500316934421091,0.0282794760554838,0.0839774295338288,0.1626446945017607,1,1,1
